REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2026,06,1,13,0,01,2,2,6,2,1,,,2,3,18,06,29,,,,350,350,1,350,350,0,,0,0,0,,24,,1690,3,2,1,1,,,,,,,,,,,,,,,,,1,06,,167
2,2026,06,1,48,8,07,,1,2,6,1,,,1,3,21,05,19,,,,380,260,1,380,260,150,3,0,30,30,,124,,12045,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,874
3,2026,06,4,24,0,12,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,11,,280
4,2026,06,4,35,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,11,,186
5,2026,06,1,35,0,05,,1,1,1,1,,,3,3,06,08,35,,,,400,400,1,400,400,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,1,03,2,163
6,2026,06,4,35,0,09,,1,1,5,,1,1,2,3,12,03,11,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,2,,,,,,,,,,,1,11,,150
7,2026,06,1,13,0,04,,2,6,6,2,,,2,3,07,08,38,,,,400,400,1,750,720,0,,0,0,0,,10,,1700,3,4,2,2,,,,,,,,,,,,,,,,,1,03,,101
8,2026,06,1,35,4,04,,2,2,5,1,,,2,1,16,06,27,,,,70,70,2,70,70,0,,0,0,0,5,22,,4000,3,1,1,2,,,,,,,,,,,,,,,,,1,02,,1099
9,2026,06,1,48,7,01,2,2,6,3,1,,,2,3,19,07,34,,,,300,300,1,300,300,0,,0,0,0,,5,,1500,3,1,2,4,,,,,,,,,,,,,,,,,1,04,,742
10,2026,06,4,10,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,61
11,2026,06,1,59,9,04,,1,2,5,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,34,,4200,3,1,1,2,,,,,,,,,,,,,,,,,1,02,,675
12,2026,06,1,46,0,04,,1,1,4,1,,,2,3,11,08,36,,,,400,180,1,400,180,0,,0,0,0,,134,,6058,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,87
13,2026,06,1,59,0,02,3,1,6,3,1,,,2,3,10,07,34,,,,400,400,1,400,400,0,,0,0,0,,21,,2000,1,1,2,2,,,,,,,,,,,,,,,,,1,04,,322
14,2026,06,4,11,0,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,59
15,2026,06,1,24,0,11,,2,1,4,1,,,2,3,17,04,18,,,,280,280,2,280,280,0,,0,0,0,5,129,,2700,3,1,2,2,,,,,,,,,,,,,,,,,,08,,133
16,2026,06,1,24,0,05,,1,2,4,1,,,2,3,06,08,36,,,,400,400,1,400,400,0,,0,0,0,,82,,4700,1,1,2,2,,,,,,,,,,,,,,,,,1,03,2,142
17,2026,06,1,35,4,03,6,2,6,5,1,,,2,2,14,06,28,,,,400,320,1,400,320,80,1,0,0,0,,6,,7692,3,1,1,3,,,,,,,,,,,,,,,,,1,10,,886
18,2026,06,2,35,4,06,,1,1,2,1,,,2,1,11,08,36,3,2,2,400,0,1,400,0,,,,,,,36,,2500,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,942
19,2026,06,4,35,0,02,3,1,6,5,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,02,,417
20,2026,06,1,35,4,07,,2,1,4,1,,,1,2,16,05,25,,,,350,350,1,350,350,70,1,0,0,0,,22,,3101,1,1,2,2,,,,,,,,,,,,,,,,,1,04,4,379
21,2026,06,1,35,0,06,,1,1,0,1,,,2,3,14,02,08,,,,500,500,1,500,500,0,,0,0,0,,196,,4346,3,1,2,2,,,,,,,,,,,,,,,,,1,06,2,395
22,2026,06,1,10,0,03,6,1,6,4,1,,,2,3,10,08,35,,,,400,440,1,400,440,0,,40,0,40,,157,,4362,1,1,2,2,,,,,,,,,,,,,,,,,1,01,,139
23,2026,06,4,35,0,12,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,11,,255
24,2026,06,4,59,0,11,,1,1,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,11,,199
25,2026,06,1,13,0,08,,2,5,6,1,,,1,3,16,05,20,,,,350,350,1,350,350,0,,0,0,0,,240,,5495,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,37
26,2026,06,1,48,8,08,,1,1,5,1,,,2,3,04,03,13,,,,400,910,1,400,910,0,,510,0,510,,176,,4620,3,1,2,4,,,,,,,,,,,,,,,,,1,07,4,493
27,2026,06,1,46,6,09,,2,1,5,1,,,2,2,08,10,43,,,,400,400,1,400,400,0,,0,0,0,,179,,2100,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,192
28,2026,06,3,35,0,02,4,2,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,,,,2,,,,1,,1,3,,,1,18,,248
29,2026,06,4,24,2,12,,2,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,01,,334
30,2026,06,1,35,0,08,,1,6,2,1,,,2,3,06,08,38,,,,400,600,1,400,600,0,,200,0,200,,6,,2000,1,1,2,2,,,,,,,,,,,,,,,,,1,11,,66
31,2026,06,4,10,0,01,2,1,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,04,,77
32,2026,06,1,24,0,05,,2,2,5,1,,,1,3,16,05,20,,,,30,90,2,30,90,0,,0,0,0,2,190,,6160,1,4,2,4,,,,,,,,,,,,,,,,,1,03,1,201
33,2026,06,4,24,0,10,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,1,11,,143
34,2026,06,1,24,2,03,5,1,6,4,1,,,2,3,06,08,36,,,,375,350,1,375,350,0,,0,0,0,,23,,3000,3,1,1,1,,,,,,,,,,,,,,,,,1,03,,281
35,2026,06,1,47,0,04,,1,1,2,1,,,2,3,11,08,36,,,,400,870,1,400,870,0,,470,0,470,,179,,4900,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,158
36,2026,06,1,12,0,03,6,1,6,6,1,,,2,3,14,03,11,,,,350,350,1,350,350,0,,0,0,0,,50,,2550,1,1,1,1,,,,,,,,,,,,,,,,,1,01,,238
37,2026,06,4,24,1,03,6,1,6,6,,1,2,2,3,17,04,15,,,,,,,,,,,,,,,,28,,,,,,,,,3,05,3,,,,,,,,,,,2,18,,458
38,2026,06,1,59,0,10,,2,1,4,1,,,2,2,15,08,38,,,,280,240,2,280,240,0,,0,0,0,5,3,,2117,3,2,1,4,,,,,,,,,,,,,,,,,1,18,,201
39,2026,06,4,48,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,201
40,2026,06,4,47,0,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,228
41,2026,06,1,59,0,05,,1,2,2,1,,,6,3,13,01,03,,,,400,400,1,400,400,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,1,06,1,216
42,2026,06,1,35,0,06,,1,2,4,1,,,5,3,07,10,41,,,,720,720,1,720,720,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,1,04,4,405
43,2026,06,4,35,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,03,,245
44,2026,06,1,35,0,06,,2,1,5,1,,,1,3,17,04,17,,,,480,360,1,480,360,120,3,0,0,0,,151,,5106,1,1,4,4,,,,,,,,,,,,,,,,,1,03,2,250
45,2026,06,1,35,3,02,4,1,6,4,1,,,1,2,17,07,34,,,,450,450,1,450,450,0,,0,0,0,,69,,2700,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,870
46,2026,06,4,35,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,01,,273
47,2026,06,4,35,4,12,,2,5,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,01,,421
48,2026,06,4,35,4,12,,1,1,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,11,,184
49,2026,06,1,13,0,08,,2,1,6,1,,,1,1,16,02,07,,,,362,392,1,362,392,0,,0,30,30,,240,,4781,2,1,4,4,,,,,,,,,,,,,,,,,1,10,4,125
50,2026,06,4,59,9,09,,1,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,1,18,,313
51,2026,06,1,12,0,06,,1,1,3,1,,,2,3,14,03,11,,,,400,400,1,400,400,0,,0,0,0,,81,,12500,3,1,3,4,,,,,,,,,,,,,,,,,1,03,2,132
52,2026,06,1,59,9,10,,2,1,4,2,,,2,2,17,04,18,,,,400,480,1,560,640,0,,80,0,80,,69,,2985,1,1,1,4,,,,,,,,,,,,,,,,,1,10,4,619
53,2026,06,1,35,0,09,,1,1,4,1,,,2,3,14,02,07,,,,375,375,1,375,375,0,,0,0,0,,215,,5082,3,3,2,4,,,,,,,,,,,,,,,,,1,04,4,86
54,2026,06,2,35,4,08,,1,1,5,1,,,2,2,14,03,12,3,1,1,400,0,1,400,0,,,,,,,213,,7212,3,1,1,2,,,,,,,,,,,,,,,,,1,03,2,160
55,2026,06,1,35,0,05,,1,1,2,1,,,2,3,07,10,42,,,,400,400,1,400,400,0,,0,0,0,,182,,2300,3,1,3,3,,,,,,,,,,,,,,,,,1,18,,283
56,2026,06,2,46,6,07,,2,4,4,1,,,1,3,17,05,24,1,28,2,325,0,1,325,0,,,,,,,25,,2700,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,193
57,2026,06,4,35,4,12,,1,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,11,,744
58,2026,06,4,24,0,10,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,1,05,,411
59,2026,06,1,35,0,10,,2,1,4,1,,,1,3,17,04,16,,,,120,120,2,120,120,0,,0,0,0,5,64,,5768,1,4,3,3,,,,,,,,,,,,,,,,,1,08,,257
60,2026,06,4,13,0,12,,2,1,2,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,109,,,,,,,,,2,04,11,,,,,,,,,,,,11,,117
61,2026,06,1,24,0,04,,1,1,2,1,,,2,3,09,08,38,,,,400,400,1,400,400,0,,0,0,0,,17,,2000,3,1,1,2,,,,,,,,,,,,,,,,,1,03,1,218
62,2026,06,1,47,0,07,,2,2,2,1,,,1,3,16,08,36,,,,150,150,2,150,150,0,,0,0,0,5,130,,2769,3,1,3,3,,,,,,,,,,,,,,,,,1,03,3,151
63,2026,06,4,24,0,12,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,86
64,2026,06,1,35,0,10,,2,1,1,1,,,2,2,11,08,36,,,,260,260,2,260,260,0,,0,0,0,1,69,,2100,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,246
65,2026,06,1,48,8,05,,1,6,3,1,,,2,3,06,08,35,,,,500,400,1,500,400,100,3,80,0,80,,142,,5000,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,787
66,2026,06,1,24,0,07,,1,6,4,1,,,1,3,05,08,35,,,,400,440,1,400,440,0,,40,0,40,,88,,6635,3,1,4,4,,,,,,,,,,,,,,,,,1,14,2,123
67,2026,06,4,35,4,07,,2,1,2,,1,2,6,2,06,01,04,,,,,,,,,,,,,,,,20,,,,,,,,,2,02,3,,,,,,,,,,,1,06,2,145
68,2026,06,4,59,9,12,,1,3,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,488
69,2026,06,1,35,4,07,,2,1,2,1,,,2,2,20,07,32,,,,500,500,1,500,500,0,,0,0,0,,169,,2500,3,1,2,2,,,,,,,,,,,,,,,,,1,18,,371
70,2026,06,1,47,0,02,3,1,6,2,1,,,6,3,01,01,04,,,,500,500,1,500,500,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,1,04,,179
71,2026,06,1,35,4,05,,1,1,2,1,,,2,3,15,07,33,,,,400,400,1,400,400,0,,0,0,0,,240,,3456,1,1,3,3,,,,,,,,,,,,,,,,,1,03,1,191
72,2026,06,4,48,8,03,6,2,1,5,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,06,1,811
73,2026,06,1,11,0,10,,2,1,2,1,,,2,3,15,07,34,,,,240,240,2,240,240,0,,0,0,0,5,22,,1800,3,1,1,1,,,,,,,,,,,,,,,,,1,08,,62
74,2026,06,4,35,4,06,,2,1,4,,1,1,2,1,17,05,24,,,,,,,,,,,,,,,,40,,,,,,,,,3,05,7,2,,,,,,,,,,2,06,1,468
75,2026,06,1,48,0,04,,1,6,3,1,,,2,3,09,07,33,,,,400,400,1,400,400,0,,0,0,0,,52,,2700,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,296
76,2026,06,1,46,6,09,,1,1,2,1,,,2,3,11,02,09,,,,600,600,1,600,600,0,,0,0,0,,240,,2612,3,1,1,1,,,,,,,,,,,,,,,,,1,03,2,244
77,2026,06,1,47,0,08,,1,1,5,1,,,2,3,09,01,03,,,,450,450,1,450,450,0,,0,0,0,,240,,7692,3,1,3,3,,,,,,,,,,,,,,,,,1,03,2,194
78,2026,06,1,35,0,06,,1,1,4,1,,,2,1,01,02,07,,,,480,480,1,480,480,0,,0,0,0,,41,,2295,3,1,3,3,,,,,,,,,,,,,,,,,1,03,2,154
79,2026,06,1,47,0,10,,1,1,2,1,,,2,2,10,01,03,,,,400,320,1,400,320,80,3,0,0,0,,240,,4625,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,200
80,2026,06,1,24,0,07,,1,2,4,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,240,,4900,1,1,2,3,,,,,,,,,,,,,,,,,1,02,,138
81,2026,06,4,35,4,04,,2,1,5,,1,1,2,1,14,03,12,,,,,,,,,,,,,,,,3,,,,,,,,,2,04,5,,,,,,,,,,,1,06,2,512
82,2026,06,1,48,0,04,,1,6,2,1,,,2,3,04,10,41,,,,840,840,1,840,840,0,,0,0,0,,20,,4200,3,1,4,4,,,,,,,,,,,,,,,,,1,18,,191
83,2026,06,4,35,0,01,2,2,6,1,,1,2,2,3,19,07,33,,,,,,,,,,,,,,,,7,,,,,,,,,4,13,7,,,,,,,,,,,2,03,,286
84,2026,06,1,35,0,07,,1,1,3,1,,,2,3,08,01,04,,,,400,480,1,400,480,0,,40,40,80,,183,,4200,3,1,2,2,,,,,,,,,,,,,,,,,1,03,2,229
85,2026,06,1,35,0,05,,1,1,2,1,,,6,3,06,01,04,,,,500,400,1,500,400,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,03,1,990
86,2026,06,1,59,9,06,,2,1,4,1,,,2,2,13,01,02,,,,400,400,1,400,400,0,,0,0,0,,138,,6250,3,1,4,4,,,,,,,,,,,,,,,,,1,04,4,442
87,2026,06,1,35,4,11,,1,1,6,1,,,2,2,06,02,05,,,,400,400,1,400,400,0,,0,0,0,,240,,7188,3,1,2,2,,,,,,,,,,,,,,,,,,02,,412
88,2026,06,1,59,0,05,,1,2,5,1,,,2,3,06,08,38,,,,400,400,1,400,400,0,,0,0,0,,2,,3700,3,1,1,2,,,,,,,,,,,,,,,,,1,02,,496
89,2026,06,4,48,8,10,,2,1,6,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,4,970
90,2026,06,1,13,0,03,6,2,6,5,2,,,2,3,17,05,24,,,,400,400,1,800,800,0,,0,0,0,,4,,1904,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,150
91,2026,06,1,35,4,06,,2,1,5,1,,,2,2,17,02,05,,,,375,375,1,375,375,0,,0,0,0,,42,,3800,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,377
92,2026,06,4,10,0,11,,1,2,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,11,,57
93,2026,06,1,24,2,08,,2,6,6,1,,,6,2,17,04,17,,,,120,50,2,120,50,,,,,,5,124,,,,,,,,,,,,,,,,,,,,,,,1,01,,580
94,2026,06,1,59,9,02,3,2,6,5,1,,,1,3,21,06,30,,,,200,200,2,200,200,0,,0,0,0,4,54,,2925,1,4,1,4,,,,,,,,,,,,,,,,,1,13,,637
95,2026,06,4,59,0,12,,1,4,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,01,,322
96,2026,06,1,35,4,09,,1,1,6,1,,,5,2,12,02,05,,,,600,600,1,600,600,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,02,,397
97,2026,06,1,11,0,04,,1,2,2,1,,,1,3,17,07,34,,,,300,300,1,300,300,0,,0,0,0,,54,,3200,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,84
98,2026,06,1,35,0,03,6,2,1,4,1,,,1,3,17,04,16,,,,360,120,1,360,120,0,,0,0,0,,58,,4300,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,114
99,2026,06,1,59,9,07,,1,1,5,1,,,2,2,09,02,09,,,,400,400,1,400,400,0,,0,0,0,,92,,9926,3,1,3,4,,,,,,,,,,,,,,,,,1,06,1,372
100,2026,06,4,35,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,215
101,2026,06,1,35,4,05,,1,1,6,1,,,2,2,09,02,06,,,,375,375,1,375,375,0,,0,0,0,,76,,7179,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,484
102,2026,06,2,12,0,06,,1,2,2,1,,,2,3,17,04,17,1,8,2,840,0,1,840,0,,,,,,,45,,2842,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,154
103,2026,06,4,35,0,12,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,217
104,2026,06,1,46,6,02,4,1,2,4,1,,,2,3,06,08,35,,,,500,500,1,500,500,0,,0,0,0,,22,,2500,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,234
105,2026,06,4,24,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,11,,336
106,2026,06,1,24,0,09,,1,1,2,1,,,2,3,04,09,39,,,,420,375,1,420,375,0,,0,0,0,,185,,5500,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,175
107,2026,06,4,13,0,11,,2,5,5,,1,1,2,3,14,02,05,,,,,,,,,,,,,,,,17,,,,,,,,,4,09,1,,,,,,,,,,,,01,,47
108,2026,06,1,24,0,01,1,2,6,1,1,,,2,3,19,07,34,,,,150,200,2,150,200,0,,0,0,0,4,16,,1660,3,3,1,4,,,,,,,,,,,,,,,,,2,18,,323
109,2026,06,1,48,8,03,5,1,6,5,1,,,2,3,09,07,33,,,,400,400,1,400,400,0,,0,0,0,,38,,2500,3,1,4,4,,,,,,,,,,,,,,,,,1,01,,927
110,2026,06,1,24,0,10,,1,6,5,1,,,6,3,01,01,04,,,,400,350,1,400,350,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,01,,51
111,2026,06,1,46,0,06,,2,1,2,1,,,1,3,16,02,08,,,,100,100,2,100,100,0,,0,0,0,5,2,,4231,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,121
112,2026,06,2,24,0,08,,1,1,4,1,,,1,3,17,03,13,1,1,1,350,0,1,350,0,,,,,,,27,,2487,1,4,4,4,,,,,,,,,,,,,,,,,1,02,,299
113,2026,06,4,46,6,12,,1,6,0,,1,2,2,3,20,08,36,,,,,,,,,,,,,,,,71,,,,,,,,,5,07,12,,,,,,,,,,,,01,,139
114,2026,06,4,59,9,07,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,1,06,2,889
115,2026,06,1,35,4,03,6,2,6,5,1,,,2,3,12,02,06,,,,375,375,1,375,375,0,,0,0,0,,9,,6205,3,1,4,4,,,,,,,,,,,,,,,,,1,18,,137
116,2026,06,3,46,6,02,4,2,6,2,,1,1,1,3,21,02,09,,,,,,,,,,,,,,,,2,,,,,,24,2,1,4,09,7,2,,1,,1,1,,1,,,1,04,,130
117,2026,06,2,48,0,09,,1,1,2,1,,,2,3,06,01,04,1,2,2,600,0,1,600,0,,,,,,,240,,4100,3,1,1,3,,,,,,,,,,,,,,,,,1,02,,119
118,2026,06,1,35,0,03,6,2,1,2,1,,,2,3,19,07,31,,,,250,250,2,250,250,0,,0,0,0,6,14,,2000,1,1,2,3,,,,,,,,,,,,,,,,,1,02,,87
119,2026,06,3,24,2,04,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,12,7,1,,,15,2,1,1,1,1,1,,3,,,1,01,,1258
120,2026,06,1,12,0,09,,1,1,4,1,,,1,3,17,02,09,,,,350,350,1,350,350,0,,0,0,0,,97,,2500,1,1,1,1,,,,,,,,,,,,,,,,,1,02,,135
121,2026,06,4,35,0,05,,1,6,0,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,,390
122,2026,06,1,35,4,05,,2,1,5,1,,,1,3,16,05,20,,,,400,400,1,400,400,0,,0,0,0,,154,,5288,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,155
123,2026,06,4,59,9,12,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,06,,281
124,2026,06,4,11,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,11,,52
125,2026,06,4,47,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,92
126,2026,06,3,35,0,05,,2,6,3,,1,1,2,2,20,07,32,,,,,,,,,,,,,,,,149,,,,,,25,6,1,4,12,7,2,,,,,,1,0,,,1,14,,76
127,2026,06,1,11,0,04,,1,2,2,1,,,2,3,19,07,34,,,,200,200,2,200,200,0,,0,0,0,5,240,,1800,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,84
128,2026,06,1,11,0,09,,1,1,6,2,,,1,3,21,05,25,,,,440,450,1,590,550,0,,80,0,80,,15,,3800,1,4,2,2,,,,,,,,,,,,,,,,,1,03,3,59
129,2026,06,4,11,0,10,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,1,,1,01,,50
130,2026,06,4,24,2,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,303
131,2026,06,4,10,0,10,,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,,30
132,2026,06,2,35,3,05,,2,1,6,1,,,1,3,21,02,07,1,99,1,375,0,1,375,0,,,,,,,169,,5436,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,791
133,2026,06,1,47,0,01,2,1,6,2,1,,,2,3,01,07,34,,,,120,120,2,120,120,0,,0,0,0,4,4,,1535,3,1,2,2,,,,,,,,,,,,,,,,,2,03,,210
134,2026,06,4,59,0,01,2,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,570
135,2026,06,4,35,4,04,,2,2,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,,192
136,2026,06,4,35,5,10,,1,6,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,1,01,,378
137,2026,06,4,13,0,08,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,1,11,,141
138,2026,06,1,59,0,11,,2,1,4,1,,,1,2,16,05,25,,,,275,275,2,275,275,0,,0,0,0,7,70,,3200,1,1,3,4,,,,,,,,,,,,,,,,,,08,,88
139,2026,06,4,24,0,12,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,11,,89
140,2026,06,1,35,0,10,,2,1,4,1,,,2,2,19,07,34,,,,400,320,1,400,320,80,2,0,0,0,,240,,2395,1,1,3,4,,,,,,,,,,,,,,,,,1,08,,212
141,2026,06,1,35,0,10,,2,5,2,1,,,1,3,17,02,08,,,,350,350,1,350,350,0,,0,0,0,,240,,2865,1,1,4,4,,,,,,,,,,,,,,,,,1,18,,237
142,2026,06,4,24,0,10,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,1,08,,115
143,2026,06,4,24,0,12,,2,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,800
144,2026,06,1,12,0,05,,1,1,2,1,,,2,3,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,158,,4952,3,1,4,4,,,,,,,,,,,,,,,,,1,06,1,183
145,2026,06,1,10,0,04,,1,1,4,2,,,2,3,17,05,26,,,,420,420,1,540,540,0,,0,0,0,,29,,1984,1,1,2,3,,,,,,,,,,,,,,,,,1,05,,57
146,2026,06,4,24,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,78
147,2026,06,1,10,0,04,,1,2,4,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,2,,2800,3,1,1,1,,,,,,,,,,,,,,,,,1,05,,61
148,2026,06,4,46,6,12,,2,1,6,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,11,,165
149,2026,06,1,35,0,06,,1,1,4,1,,,1,3,05,08,35,,,,400,400,1,400,400,0,,0,0,0,,208,,5000,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,77
150,2026,06,4,59,9,10,,2,2,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,1,05,,338
151,2026,06,1,24,0,10,,1,2,4,1,,,6,3,09,07,33,,,,450,450,1,450,450,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,1,02,,97
152,2026,06,4,10,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,05,,53
